LINE_CODE,ORGANIZATION_ID,LINE_DIVISION,LINE_NAME,ENTER_BY,ENTER_DATE,LAST_MODIFY_BY,LAST_MODIFY_DATE,LINE_PRODUCT_DIVISION,CAPACITY,UPH_VALUE,CAPACITY_UOM,USE_RATE,LINE_STATUS,ACTION_DATE,LINE_STATUS_CODE,MES_DISPLAY_GROUP,MES_DISPLAY_YN,MES_DISPLAY_SEQUENCE,DAY_START_TIME,NIGHT_START_TIME,SHOW_TABLE_YN,LINE_NAME_NUM,MASK_LOT_NO,MASK_CHECK_DATE,SQUEZE_LOT_NO,SQUEZE_CHECK_DATE,SOLDER_LOT_NO,SOLDER_CHECK_DATE,MODEL_NAME,MODEL_SUFFIX,ITEM_CODE,CCS_STATUS,FULL_CHECK_DATE,CCS_DATE,REFLOW_TEMP_VALUE,REFLOW_SOLDER_TYPE,REFLOW_CHECK_DATE,NSNP_STATUS,PCB_SCAN_STATUS,PCB_ITEM_CODE,PCB_SCAN_DATE,NSNP_START_DATE,PCB_ITEM,CHILD_ITEM_CODE,RUN_NO,REAL_ST,LAST_ACTUAL_DATE,COMMENTS,NSNP_REASON,NSNP_LOCK_TYPE,ACTIVE_YN,HEALTH_POINT,MASTER_MODEL_NAME,SMT_MODEL_NAME,PRODUCTION_TYPE,LINE_CODE_GROUP,FEEDER_LAYOUT_NAME,SQUEEZE_LOT_NO,SQUEEZE_CHECK_DATE,LAST_MODEL_NAME,LAST_MASK_LOT_NO,XRAY_CHECK_DATE,AOI_SAMPLE_CHECK_DATE,LV_SAMPLE_CHECK_DATE,TILT_SAMPLE_CHECK_DATE,RUN_NO_CHANGED_BY,RUN_DATE,SPEC_CHECK_STATUS,SPEC_CHECK_DATE,BACKUPBLOCK_CHECK_DATE,BACKUPBLOCK_LOT_NO,ROUTER_CHECK_DATE,ROUTER_LOT_NO,ROMWRITE_CHECK_DATE,ROMWRITE_LOT_NO,FIXTURE_CHECK_DATE,FIXTURE_LOT_NO,SAMPLE_CHECK_DATE,SAMPLE_LOT_NO,PROFILE_CHECK_DATE,PROFILE_LOT_NO,MASK_LOT_NO2,MASK_CHECK_DATE2,SQUEEZE_LOT_NO2,SQUEEZE_CHECK_DATE2,LAST_MASK_LOT_NO2,SAMPLE_CHECK_DATE2,SAMPLE_LOT_NO2,LAST_BACKUPBLOCK_LOT_NO,LAST_SQUEEZE_LOT_NO,LAST_SQUEEZE_LOT_NO2,LAST_ROUTER_LOT_NO,LAST_ROMWRITE_LOT_NO,LAST_FIXTURE_LOT_NO,LAST_SAMPLE_LOT_NO,LAST_SAMPLE_LOT_NO2,LAST_PROFILE_LOT_NO,LAST_SOLDER_LOT_NO,LAST_SPEC_CHECK_STATUS,LAST_RUN_NO,LAST_SOLDER_CHECK_DATE,LAST_PCB_ITEM,ICT_CHECK_DATE,ICT_LOT_NO,LAST_ICT_CHECK_DATE,LAST_ICT_LOT_NO,LAST_SPEC_CHECK_DATE,SAMPLE_ICT_CHECK_DATE,SAMPLE_ICT_LOT_NO,SAMPLE_ICT_CHECK_DATE2,SAMPLE_ICT_LOT_NO2,LAST_SAMPLE_ICT_LOT_NO,LAST_SAMPLE_ICT_LOT_NO2,SOLDER_TYPE,LCR_CHECK_DATE,LCR_LOT_NO,NOZZLE_CHECK_STATUS,NOZZLE_CHECK_DATE,LINE_NAME_GROUP,LINE_CODE_MACHINE,SAOI_NG_REVIEW_URL,INTERLOCK_COUNTER,MAOI_NG_REVIEW_URL,EPOXY_CHECK_DATE,EPOXY_LOT_NO,LAST_EPOXY_CHECK_DATE,LAST_EPOXY_LOT_NO,WATCHER_LINE_CODE,LINE_SUB_NAME,LINE_SUB_PRODUCT_DIVISION,LAST_SPI_RESET_DATE,LAST_AOI_RESET_DATE,SAMPLE_AOI_CHECK_DATE,SAMPLE_AOI_CHECK_DATE2,SAMPLE_AOI_LOT_NO,SAMPLE_AOI_LOT_NO2,SAMPLE_HIPOT_CHECK_DATE,SAMPLE_HIPOT_CHECK_DATE2,SAMPLE_HIPOT_LOT_NO,SAMPLE_HIPOT_LOT_NO2,SAMPLE_FCT_CHECK_DATE,SAMPLE_FCT_CHECK_DATE2,SAMPLE_FCT_LOT_NO,SAMPLE_FCT_LOT_NO2,SAMPLE_CASE_CHECK_DATE,SAMPLE_CASE_CHECK_DATE2,SAMPLE_CASE_LOT_NO,SAMPLE_CASE_LOT_NO2,SAMPLE_FT1_CHECK_DATE,SAMPLE_FT1_CHECK_DATE2,SAMPLE_FT1_LOT_NO,SAMPLE_FT1_LOT_NO2,SAMPLE_HIPOT2_CHECK_DATE,SAMPLE_HIPOT2_CHECK_DATE2,SAMPLE_HIPOT2_LOT_NO,SAMPLE_HIPOT2_LOT_NO2,SAMPLE_ATE_CHECK_DATE,SAMPLE_ATE_CHECK_DATE2,SAMPLE_ATE_LOT_NO,SAMPLE_ATE_LOT_NO2,JIG_FUNC_ICT_CHECK_DATE,JIG_FUNC_ICT_LOT_NO,JIG_FUNC_HIPOT_CHECK_DATE,JIG_FUNC_HIPOT_LOT_NO,JIG_FUNC_CALIB_CHECK_DATE,JIG_FUNC_CALIB_LOT_NO,LINE_WORKER_ID,LINE_WORKER_CHANGE_DATE,LAST_LINE_STATUS_CHANGE_DATE,DAY_PLAN_QTY,NIGHT_PLAN_QTY
57,1,D,S11,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 16:57:14,SMD,,,,,N,,N,*,Y,11,,,,111,SSSB-0195,2026-04-29 17:05:49,,,,,ML92A320758A,,ML92A320758A,,,2026-04-29 16:57:08,,,,WAIT,,,,,B,,57AL4W794,,,,,,N,,ML92A320758A,ML92A320758A,P,S11,ML92A320758A,SSB-015,2026-04-29 17:05:54,ML92A320862A,SSSB-0304,,,,,PDA M,2026-04-29 16:57:14,P,2026-04-29 17:00:13,,,,,,,,,2026-04-29 17:00:32,000057,,,,,,,,2026-04-29 17:00:32,000057,,SSB-015,,,,,000057,000057,,,P,57AL4M6FF,,B,,,,,2026-04-28 21:59:21,,,,,,,F,,,,,S11,,,,,2026-04-29 14:15:51,B260428003,2026-04-29 14:15:51,B260428003,,,B,2026-03-10 04:29:17,2026-03-06 09:38:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1,D,S12,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 19:24:56,SMD,,,,,N,,N,*,Y,12,,,,112,SSAS-0629,2026-04-29 19:25:57,,,,,ML92A250977A,,ML92A250977A,,,2026-04-29 19:24:52,,,,WAIT,,,,,B,,59AYCN775,,,,,,N,,ML92A250977A,ML92A250977A,P,S12,ML92A250977A,SSS-024,2026-04-29 19:26:00,ML92A250978A,,,,,,PDA M,2026-04-29 19:24:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,59AYCN773,,B,,,,,2026-04-29 16:38:45,,,,,,,F,,,,,S12,,,,,,,,,,,B,2024-06-21 11:06:10,2026-04-01 08:23:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,D,S13,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 17:03:18,SMD,,,,,N,,N,*,Y,13,,,,113,SSSB-0311,2026-04-19 10:28:32,,,,,ML92A320855A,,ML92A320855A,,2026-04-29 17:03:18,2026-04-19 09:57:16,,,,WAIT,,,,,B,,61AL4K4FA,,,,,,N,,ML92A320855A,ML92A320855A,P,S13,ML92A320855A,SSB-007,2026-04-19 10:29:06,,,,,,,PDA M,2026-04-19 09:57:47,P,2026-04-28 21:59:08,,,,,,,,,2026-04-19 09:58:33,000057,,,,,,,,2026-04-19 09:58:33,000057,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,S13,,,,,2026-04-28 10:53:51,B260425001,2026-04-25 09:14:11,B260423005,,,B,2026-02-05 23:20:16,2026-03-19 04:54:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1,D,S14,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 17:03:34,SMD,,,,,N,,N,*,Y,14,,,,114,SSSB-0281,2026-04-29 14:35:57,,,,,ML92A281077A,,ML92A281077A,,2026-04-29 17:03:34,2026-04-29 14:27:21,,,,WAIT,,,,,B,,63AL4W78A,,,,,,N,,ML92A281077A,ML92A281077A,P,S14,ML92A281077A,SSB-014,2026-04-29 14:36:02,ML92A250992A,SSSB-0313,,,,,PDA M,2026-04-29 14:27:26,P,2026-04-29 14:36:07,,,,,,,,,2026-04-29 14:36:14,000063,,,,,,,,2026-04-29 14:36:14,000063,,SSB-014,,,,,000057,000057,,,P,63AL4V708,,B,,,,,2026-04-29 04:00:23,,,,,,,F,,,,,S14,,,,,2026-04-28 17:15:56,B260428001,2026-04-28 17:15:56,B260428001,,,B,2024-06-21 11:06:39,2026-03-02 08:28:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,D,S15,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 17:03:37,SMD,,,,,N,,N,*,Y,15,,,,115,SSES-0052-001,2026-04-16 08:30:15,,,,,MW93A100432A,,MW93A100432A,,2026-04-29 17:03:37,2026-04-16 08:25:44,,,,WAIT,,,,,T,,65AL4B316,,,,,,N,,MW93A100432A,MW93A100432A,P,S15,MW93A100432A,SSS-051,2026-04-16 08:30:09,MW93A100432A,SSES-0454,,,,,PDA M,2026-04-16 08:26:29,P,2026-04-28 21:59:17,,,,,,,,,2026-04-16 08:27:41,000065,,,,,,,,2026-04-16 08:27:41,000065,,SSS-010,,,,,000065,000065,,,P,65AL4B316,,T,,,,,2026-04-14 10:25:46,,,,,,,F,,,,,S15,,,,,,,,,,,B,2024-07-06 10:39:24,2024-06-21 11:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1,D,B14,ADMIN,2023-10-25 16:01:29,FULL CHECK,2024-05-02 20:29:44,SMD,,,,,S,,STOP019,*,N,46,,,,306,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,B14,,,,MC92A250753A,SSPB-0037,,,,,,,P,2024-05-20 09:17:15,,,,,,,,,,,,,,,,,,,,,SSB-020-001,,,,,000067,000067,,,P,67AX4P1E5,,B,,,,,2024-05-02 08:28:01,,,,,,,,,,,,B14,,,,,,,2024-04-25 22:56:05,B240423010,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1,D,LINE 1_AXIAL1,ADMIN,2024-03-28 13:37:50,FULL CHECK,2026-04-29 15:34:02,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 15:34:02,2026-04-29 15:33:33,,,,WAIT,,,,,T,,70AL4W780,,,,,,N,,ML90A340585A,ML90A340585A,P,70,ML90A340585A,,,ML90A340584A,,,,,,PDA M,2026-04-29 15:33:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70AL4H74C,,T,,,,,,,,,,,,F,,,,,LINE 1,,,,,,,,,,6241G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,D,LINE 1_AXIAL2,ADMIN,2024-03-28 13:43:54,FULL CHECK,2026-04-29 15:31:53,AI,,,,,S,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 15:31:53,2026-04-29 15:30:58,,,,WAIT,,,,,T,,71AL4W781,,,,,,N,,ML90A340585A,ML90A340585A,P,71,ML90A340585A,,,ML90A340584A,,,,,,PDA M,2026-04-29 15:31:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71AL4V74B,,T,,,,,,,,,,,,F,,,,,LINE 1,,,,,,,,,,6241K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1,D,LINE 1_EYELET1,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 15:37:45,AI,,,,,N,,N,*,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 15:37:45,2026-04-29 15:37:15,,,,WAIT,,,,,T,,72AL4W782,,,,,,N,,ML90A340585A,ML90A340585A,P,72,ML90A340585A,,,ML90A340584A,,,,,,PDA M,2026-04-29 15:37:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72AL4G74D,,T,,,,,,,,,,,,F,,,,,LINE 1,,,,,,,,,,FW-1004C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1,D,LINE 1_EYELET2,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 15:36:06,AI,,,,,N,,N,*,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 15:36:06,2026-04-29 15:35:38,,,,WAIT,,,,,T,,73AL4W783,,,,,,N,,ML90A340585A,ML90A340585A,P,73,ML90A340585A,,,ML90A340584A,,,,,,PDA M,2026-04-29 15:35:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73AL4F74E,,T,,,,,,,,,,,,F,,,,,LINE 1,,,,,,,,,,FW-1004C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1,D,LINE 1_RADIAL1,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 15:25:22,AI,,,,,S,,,*,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 15:25:22,2026-04-29 15:23:41,,,,WAIT,,,,,T,,74AL4W786,,,,,,N,,ML90A340585A,ML90A340585A,P,73,ML90A340585A,,,ML90A340584A,,,,,,PDA M,2026-04-29 15:23:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74AL4C74F,,T,,,,,,,,,,,,F,,,,,LINE 1,,,,,,,,,,NB168-4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1,D,LINE 2_AXIAL1,ADMIN,2024-03-28 13:43:54,FULL CHECK,2026-04-29 09:07:04,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 09:07:04,2026-04-29 09:06:37,,,,WAIT,,,,,T,,75AL4J75E,,,,,,N,,ML90A340585A,ML90A340585A,P,75,ML90A340585A,,,ML90A340585A,,,,,,PDA M,2026-04-29 09:06:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75AL4J75E,,T,,,,,,,,,,,,F,,,,,LINE 2,,,,,,,,,,6241K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1,D,LINE 2_AXIAL2,ADMIN,2024-03-28 13:37:51,FULL CHECK,2026-04-29 12:41:59,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 12:41:59,2026-04-29 08:53:02,,,,WAIT,,,,,T,,76AL4J75F,,,,,,N,,ML90A340585A,ML90A340585A,P,76,ML90A340585A,,,ML90A200659A,,,,,,PDA M,2026-04-29 08:53:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76AL4V71D,,T,,,,,,,,,,,,F,,,,,LINE 2,,,,,,,,,,6241G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,D,LINE 2_EYELET1,ADMIN,2024-03-28 13:12:39,FULL CHECK,2026-04-29 09:01:46,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 09:01:46,2026-04-29 08:58:39,,,,WAIT,,,,,T,,77AL4W770,,,,,,N,,ML90A340585A,ML90A340585A,P,77,ML90A340585A,,,,,,,,,PDA M,2026-04-29 09:00:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,LINE 2,,,,,,,,,,MH1004C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,D,LINE 2_EYELET2,ADMIN,2024-03-28 14:18:09,FULL CHECK,2026-04-29 09:04:03,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 09:04:03,2026-04-29 09:03:23,,,,WAIT,,,,,T,,78AL4D761,,,,,,N,,ML90A340585A,ML90A340585A,P,78,ML90A340585A,,,ML90A200659A,,,,,,PDA M,2026-04-29 09:03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78AL4V71E,,T,,,,,,,,,,,,F,,,,,LINE 2,,,,,,,,,,FW-1004C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1,D,LINE 2_RADIAL1,ADMIN,2024-03-27 18:20:45,FULL CHECK,2026-04-29 16:45:57,AI,,,,,S,,,,Y,401,,,,401,,,,,,,ML90A340585A,,ML90A340585A,,2026-04-29 16:45:57,2026-04-29 08:38:19,,,,WAIT,,,,,T,,79AL4C762,,,,,,N,,ML90A340585A,ML90A340585A,P,79,ML90A340585A,,,,,,,,,PDA M,2026-04-29 08:38:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,LINE 2,,,,,,,,,,NB168-4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1,D,LINE 3_AXIAL1,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 13:41:20,AI,,,,,N,,N,*,Y,401,,,,401,,,,,,,ML90A340584A,,ML90A340584A,,2026-04-29 13:41:20,2026-04-29 13:40:36,,,,WAIT,,,,,T,,80AL4W77A,,,,,,N,,ML90A340584A,ML90A340584A,P,80,ML90A340584A,,,ML90A340542A,,,,,,PDA M,2026-04-29 13:40:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80AL4V752,,T,,,,,,,,,,,,F,,,,,LINE 3,,,,,,,,,,AV132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,D,LINE 3_EYELET1,ADMIN,2024-03-28 14:17:22,FULL CHECK,2026-04-29 13:43:22,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340584A,,ML90A340584A,,2026-04-29 13:43:22,2026-04-29 13:42:46,,,,WAIT,,,,,T,,81AL4W77B,,,,,,N,,ML90A340584A,ML90A340584A,P,81,ML90A340584A,,,ML90A340542A,,,,,,PDA M,2026-04-29 13:42:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81AL4R753,,T,,,,,,,,,,,,F,,,,,LINE 3,,,,,,,,,,FW-1004C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,D,LINE 3_EYELET2,ADMIN,2024-03-28 13:12:38,FULL CHECK,2026-04-29 13:46:33,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340584A,,ML90A340584A,,2026-04-29 13:46:33,2026-04-29 13:45:52,,,,WAIT,,,,,T,,82AL4W77C,,,,,,N,,ML90A340584A,ML90A340584A,P,82,ML90A340584A,,,ML90A340542A,,,,,,PDA M,2026-04-29 13:46:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82AL4M754,,T,,,,,,,,,,,,F,,,,,LINE 3,,,,,,,,,,JX-4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,D,LINE 3_JVK1,ADMIN,2024-03-28 13:24:50,FULL CHECK,2026-04-25 08:08:07,AI,,,,,N,,,,Y,401,,,,401,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINE 3,,,,,,,,,,PANASERT JVK-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1,D,LINE 3_RADIAL1,ADMIN,2024-03-28 12:14:49,FULL CHECK,2026-04-29 13:37:35,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340584A,,ML90A340584A,,2026-04-29 13:37:35,2026-04-29 13:36:34,,,,WAIT,,,,,T,,84AL4W77E,,,,,,N,,ML90A340584A,ML90A340584A,P,84,ML90A340584A,,,ML90A340542A,,,,,,PDA M,2026-04-29 13:36:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84AL3R756,,T,,,,,,,,,,,,F,,,,,LINE 3,,,,,,,,,,NB168-4P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1,D,LINE 4_AXIAL1,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 12:44:04,AI,,,,,S,,,*,Y,401,,,,401,,,,,,,ML90A340584A,,ML90A340584A,,2026-04-29 12:44:04,2026-04-29 08:37:56,,,,WAIT,,,,,T,,85AL4W76B,,,,,,N,,ML90A340584A,ML90A340584A,P,85,ML90A340584A,,,ML90A340490A,,,,,,PDA M,2026-04-29 08:38:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85AL4V757,,T,,,,,,,,,,,,F,,,,,LINE 4,,,,,,,,,,6241G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1,D,LINE 4_EYELET1,ADMIN,2024-03-28 13:17:45,FULL CHECK,2026-04-29 08:43:16,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A200612A,,ML90A200612A,,2026-04-29 08:43:16,2026-04-25 13:39:20,,,,WAIT,,,,,T,,86AL4Q6E1,,,,,,N,,ML90A200612A,ML90A200612A,P,86,ML90A200612A,,,ML90A340583A,,,,,,PDA M,2026-04-25 13:39:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86AL4P673,,T,,,,,,,,,,,,F,,,,,LINE 4,,,,,,,,,,MULSERTER 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1,D,LINE 4_RADIAL1,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-29 12:43:23,AI,,,,,S,,,*,Y,401,,,,401,,,,,,,ML90A340584A,,ML90A340584A,,2026-04-29 12:43:23,2026-04-29 09:16:23,,,,WAIT,,,,,T,,87AL4W76D,,,,,,N,,ML90A340584A,ML90A340584A,P,87,ML90A340584A,,,,,,,,,PDA M,2026-04-29 09:16:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,LINE 4,,,,,,,,,,RL132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1,D,LINE P2_PITCH1,ADMIN,2024-03-28 13:05:05,FULL CHECK,2026-04-01 01:14:47,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340493A,,ML90A340493A,,2026-04-01 01:14:47,2026-03-15 02:35:17,,,,WAIT,,,,,T,,88AL3DB19,,,,,,N,,ML90A340493A,ML90A340493A,P,88,ML90A340493A,,,ML90A340493A,,,,,,PDA M,2026-03-15 02:35:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88AL1GCF1,,T,,,,,,,,,,,,F,,,,,LINE P2,,,,,,,,,,XZG-555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1,D,RADIAL 1_RADIAL1,ADMIN,2023-10-25 16:01:29,FULL CHECK,2026-04-24 20:12:45,AI,,,,,N,,N,*,Y,401,,,,401,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,89,,,,ML90A340584A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89AL3ND6E,,T,,,,,,,,,,,,,,,,,RADIAL 1,,,,,,,,,,RL132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1,D,PITCH 1_PITCH1,ADMIN,2024-03-28 13:05:06,FULL CHECK,2026-04-10 18:32:20,AI,,,,,N,,,,Y,401,,,,401,,,,,,,ML90A340528A,,ML90A340528A,,2026-04-10 18:32:20,2026-04-10 15:53:43,,,,WAIT,,,,,T,,90AL4A288,,,,,,N,,ML90A340528A,ML90A340528A,P,90,ML90A340528A,,,ML90A340528A,,,,,,PDA M,2026-04-10 15:53:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90AL3MD93,,T,,,,,,,,,,,,F,,,,,PITCH 1,,,,,,,,,,XZG-555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1,D,AXIAL 1_AXIAL1,ADMIN,2024-03-28 13:37:48,FULL CHECK,2026-04-22 18:32:13,AI,,,,,N,,,,Y,401,,,,401,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,,,N,,,,,91,,,,ML90A200612A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91AL4L568,,T,,,,,,,,,,,,,,,,,AXIAL 1,,,,,,,,,,AV131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1,D,EYELET 1_EYELET1,ADMIN,2024-03-28 13:29:26,20117006,2025-10-22 09:28:04,AI,,,,,N,,,,Y,401,,,,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EYELET 1,,,,,,,,,,MULSERTER 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,1,E,SERVER POWER 1,ADMIN,2023-10-25 00:00:00,ADMIN,2025-06-23 19:29:48,PBA,,,,,N,,N,*,Y,511,,,,1,,,,,,,PSSF132202A,,PSSF162202A,,,2025-06-23 19:29:48,,,,WAIT,,,,,S,,P11AL4Q677,,2026-04-28 11:02:26,,,,,,PSSF162202A,PSSF162202A,P,1A,,,,,,,,,,PDA M,2026-04-28 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,SERVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,1,E,SERVER POWER 2,ADMIN,2023-10-25 00:00:00,ADMIN,2024-01-25 10:41:16,PBA,,,,,N,,N,*,Y,512,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,1,E,SERVER SUB ASSY,ADMIN,2023-10-25 00:00:00,ADMIN,2024-01-25 10:41:16,PBA,,,,,N,,N,*,Y,515,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,5A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
